# specdump w=1024 bins=511 windows=32 segs=32768 z=-0.521094 h_norm=0.99778943
# fold=1 exposure=16 frame=800x800 seg_per_row=2.0000 pred_bin=512.0
# raw_bias=0.494858 raw_sigma=1.0495 bias=0.499944 sigma=0.9948
bin;p
202;0,001390481
203;0,002605976
204;0,001861924
205;0,001521850
206;0,001968871
207;0,001514152
208;0,001593753
209;0,001716994
210;0,002186797
211;0,001750436
212;0,002137213
213;0,001793985
214;0,002142019
215;0,001712720
216;0,001882305
217;0,001682758
218;0,002377715
219;0,001977855
220;0,001830593
221;0,001774698
222;0,001468584
223;0,001858986
224;0,001535948
225;0,002203101
226;0,001758742
227;0,001934530
228;0,002092649
229;0,002321492
230;0,002626755
231;0,002630655
232;0,002414634
233;0,002060061
234;0,002169197
235;0,001942403
236;0,002152218
237;0,001330751
238;0,001958877
239;0,002187821
240;0,003048407
241;0,001570574
242;0,001967672
243;0,001668912
244;0,001879449
245;0,001991282
246;0,001564339
247;0,001773449
248;0,001696646
249;0,001888328
250;0,001480424
251;0,002329035
252;0,001543190
253;0,001966768
254;0,001780624
255;0,002099040
256;0,001295891
257;0,002366191
258;0,002030458
259;0,001808163
260;0,001802149
261;0,001607544
262;0,001811976
263;0,001727066
264;0,001422841
265;0,001463847
266;0,002857203
267;0,001908341
268;0,002004844
269;0,001890404
270;0,002273899
271;0,001734748
272;0,002067843
273;0,002395866
274;0,001508360
275;0,002248524
276;0,002342399
277;0,002069437
278;0,001607510
279;0,001508825
280;0,001628165
281;0,001521418
282;0,001702278
283;0,002439052
284;0,002372340
285;0,001656344
286;0,002312236
287;0,002152696
288;0,002027923
289;0,002362556
290;0,001800826
291;0,001978836
292;0,001703757
293;0,001276920
294;0,002365354
295;0,001838410
296;0,001621307
297;0,001932067
298;0,001444036
299;0,001840220
300;0,002070823
301;0,001620391
302;0,001692965
303;0,001950040
304;0,002086971
305;0,001501069
306;0,002137178
307;0,001993131
308;0,001836603
309;0,001495952
310;0,002708450
311;0,001991989
312;0,002074074
313;0,002251117
314;0,001825918
315;0,002024052
316;0,002313719
317;0,002030119
318;0,001892096
319;0,002575069
320;0,002332517
321;0,001808786
322;0,001890837
323;0,002360163
324;0,001969782
325;0,002051651
326;0,001794424
327;0,002253127
328;0,002001258
329;0,001482293
330;0,002111455
331;0,001621495
332;0,001499782
333;0,001541818
334;0,002229864
335;0,001773384
336;0,001809660
337;0,001774641
338;0,001790089
339;0,001491914
340;0,001877913
341;0,001205061
342;0,001977315
343;0,002094105
344;0,002283726
345;0,002061310
346;0,001225126
347;0,001620890
348;0,001760318
