# elotto v3 mode=649 focus=off score=high items=346/5005 ranked=273 excl=73 void=0 blocks=4 paused_ms=0 pass_mean=0,000000 pass_sigma=1,022620 pass_chi2=284,4443 pass_stouffer=0,0000 v_eff=1,0201 null_flags=0 flush_timeouts=0 drift_t=0.00 unlimited=off runs_cap=100 rounds=1 run_s=1,50 run_segs=39130 gap_s=0,60 compacted=0 ent_w=0,600 ent_win=38 ent_h0=0,99789939 ent_sd=0,00013085 ent_n=273 ent_clamp=2 rank_mean=-0,022111 rank_sigma=3,201801 fw=3b4d8ed/5cba7061d053abab
# nodes=master,192.168.178.155,192.168.178.145,192.168.178.103
# fw_nodes=5cba7061d053abab,a0a5d77e03fcb942,a0a5d77e03fcb942,37175acddd1aa225
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round;zh_ctr;key;h0;h1;h2;h3
99;1990;3;27;28;36;39;43;0;0;-2,714091;-1,9025;1;4;0;-1,620018;-0,840989;-1,219423;-1,747752;1;5,6004;-5,7151;-0,2430;0,2810;0,7994;-190,9647
100;2247;4;10;16;26;36;38;0;0;-1,092643;-0,2811;1;4;0;0,134406;-0,461364;-1,483230;-0,375097;1;-9,5022;7,7504;1,7858;-0,0567;-0,7617;-221,2997
101;1867;3;23;28;32;39;43;0;0;-2,404886;-1,5933;1;4;0;-1,087400;-1,077629;-0,753292;-1,891451;1;-7,8941;5,6844;0,6159;-0,3607;-1,7827;-215,5885
102;161;3;4;10;25;36;43;0;0;0,058743;0,8703;1;4;0;-1,365505;1,538279;0,259756;-0,315043;1;-8,0287;7,1630;-0,3380;-0,3906;0,7512;-217,4079
103;1643;3;16;25;26;38;39;0;0;-1,012213;-0,2007;1;4;0;-0,204468;-0,225439;-0,090557;-1,503962;1;1,0175;-0,9579;-1,2233;0,2635;0,2000;-198,5332
104;1896;3;25;26;28;36;38;0;0;-0,265833;0,5457;1;4;0;0,702771;0,703962;-1,236581;-0,701817;1;-2,9220;2,7340;-1,1104;1,2184;-1,7042;-205,5759
105;4476;14;25;28;32;38;39;0;0;-1,781472;-0,9699;1;4;0;-0,851475;-1,605243;0,591481;-1,697707;1;-5,5205;4,0553;-1,6690;0,5115;-0,8932;-210,3183
106;3137;4;23;27;28;38;43;0;0;-0,745547;0,0660;1;4;0;-0,827882;0,829074;0,279774;-1,772059;1;-0,2844;0,2732;0,8384;-1,0980;1,4756;-203,1127
107;2019;4;10;14;16;25;43;0;0;0,641049;1,4526;1;4;0;1,627168;0,358654;-1,534704;0,830980;1;-2,9748;3,2809;-0,4240;0,1254;0,6018;-207,5807
108;4893;23;26;28;36;38;43;0;0;-2,677630;-1,8661;1;4;0;0,173012;-1,062616;-2,507001;-1,958654;1;-7,0705;4,8479;-1,1762;-1,1149;0,9881;-214,1658
109;1721;3;16;27;28;36;39;0;0;-2,432411;-1,6209;1;4;0;0,115103;-1,694609;-0,276437;-3,008878;1;-9,2999;6,8389;-2,0504;1,1398;-0,8679;-218,1492
110;988;3;10;16;28;38;39;0;0;-0,098898;0,7126;1;4;0;0,435389;0,775455;-0,712541;-0,696098;1;4,0914;-3,0089;-0,2563;-0,3363;-0,1576;-192,3950
111;4157;14;16;23;32;36;39;0;0;-2,637594;-1,8260;1;4;0;-1,320465;-2,249390;-0,550253;-1,155079;1;-3,5044;1,9029;0,7892;-0,4147;-0,2048;-208,5064
112;2690;4;14;23;28;38;43;0;0;-0,665833;0,1457;1;4;0;0,453977;0,064105;-0,462318;-1,387430;1;-7,7842;6,5576;-0,5417;0,5699;-0,1321;-216,7924
113;321;3;4;14;25;32;38;0;0;-0,148943;0,6626;1;4;0;0,165862;1,237296;-0,303605;-1,397439;1;1,4894;-0,8717;1,3508;-1,0117;0,0794;-198,7677
114;4015;10;25;28;32;38;43;0;0;-0,773786;0,0378;1;4;0;0,270956;-0,471373;0,506405;-1,853560;1;-0,8527;0,7305;0,1276;1,0290;-0,3547;-203,8353
115;3883;10;23;25;36;38;43;0;0;0,495562;1,3071;1;4;0;2,093298;1,592613;-2,467680;-0,227108;1;4,1668;-2,7419;0,1671;0,1415;0,6482;-193,9511
116;1954;3;26;27;28;38;39;0;0;-0,968604;-0,1571;1;4;0;0,203039;-0,704439;-1,235866;-0,199941;1;6,7729;-5,7225;-1,0653;0,0929;-0,4719;-186,3378
117;4906;23;27;28;32;39;43;0;0;-0,069229;0,7423;1;4;0;0,086506;-0,642240;0,576467;-0,159190;1;-8,1803;7,2182;0,2230;0,0635;1,6680;-219,6430
118;719;3;10;14;16;23;28;0;0;-0,521775;0,2898;1;4;0;1,269706;-0,794519;-1,409592;-0,109145;1;0,0645;0,1070;1,2292;0,5471;1,1557;-204,1308
119;2588;4;14;16;27;32;36;0;0;-1,451177;-0,6396;1;4;0;-0,331725;-1,406494;-2,423355;1,259220;1;-2,0530;1,3534;0,0207;-1,3260;-2,6619;-201,4666
120;4299;14;23;25;26;28;36;0;0;-1,942330;-1,1308;1;4;0;-2,292762;-0,752339;0,221150;-1,060709;1;-2,7526;1,6631;1,2975;1,2479;0,5830;-209,9615
121;1446;3;14;25;27;36;39;0;0;-1,125172;-0,3136;1;4;0;-0,777838;0,703962;-0,603158;-1,573310;1;2,5970;-2,3348;-0,2655;-0,7149;1,7172;-196,8708
122;4900;23;26;36;38;39;43;0;0;0,876974;1,6885;1;4;0;3,011976;0,839798;-0,370092;-1,727734;1;-5,7169;5,6934;0,3878;0,4843;0,3007;-213,9345
123;4127;14;16;23;26;36;43;0;0;-0,207566;0,6040;1;4;0;1,119571;-0,619363;-0,365803;-0,549538;1;4,5599;-3,4590;-0,3588;-0,7759;0,3143;-191,3878
124;2096;4;10;14;25;27;43;0;0;-0,024546;0,7870;1;4;0;1,312601;-1,358595;0,371999;-0,375097;1;-3,7418;3,5499;-0,3318;0,3346;-1,7645;-207,0498
125;916;3;10;16;23;39;43;0;0;-1,089068;-0,2775;1;4;0;0,272386;-0,427048;-0,231397;-1,792077;1;5,4154;-4,6598;-0,9287;1,8296;0,3351;-191,7331
126;4984;26;27;28;36;38;39;0;0;-1,269229;-0,4577;1;4;0;-0,945130;-0,736610;-1,252309;0,395591;1;10,1289;-8,6817;0,4650;0,8113;-1,4316;-180,9148
